category,headline,Topic_0,Topic_1,Topic_2,Topic_3,Dominant_Topic,Perc_Dominant_Topic
ENTERTAINMENT,good actress talk act movie work reese witherspoon,0.740817,0.027847972,0.20246865,0.028866401,Topic 0,0.74
POLITICS,gay marriage approve society unravel,0.041812558,0.52089554,0.39546716,0.041824736,Topic 1,0.52
POLITICS,visit superstitious tweeter,0.06267606,0.06266752,0.8119656,0.06269079,Topic 2,0.81
POLITICS,bum,0.12537938,0.12536135,0.12538548,0.6238738,Topic 3,0.62
ENTERTAINMENT,drop trouble,0.08359385,0.74919367,0.08359674,0.083615795,Topic 1,0.75
ENTERTAINMENT,poster star comic con promo photo,0.03584885,0.45991084,0.16439682,0.3398435,Topic 1,0.46
POLITICS,use holocaust denial legal defense,0.04385927,0.042242963,0.8719869,0.041910853,Topic 2,0.87
POLITICS,agree effect cause crime surge,0.042278662,0.04175003,0.87397873,0.0419926,Topic 2,0.87
ENTERTAINMENT,admit get awkward starstruck,0.45066398,0.4490793,0.050123915,0.05013281,Topic 0,0.45
POLITICS,system sabotage,0.083478965,0.7495484,0.08348096,0.08349171,Topic 1,0.75
POLITICS,legal scholar trash prevent,0.84930325,0.050113823,0.050453346,0.050129533,Topic 0,0.85
POLITICS,model forecast dead heat election,0.8739358,0.042391945,0.0417423,0.041929957,Topic 0,0.87
POLITICS,tie,0.62468386,0.12510586,0.12510146,0.1251088,Topic 0,0.62
POLITICS,torture,0.12537989,0.12536137,0.12538427,0.6238745,Topic 3,0.62
POLITICS,troop kill wound niger,0.24877365,0.050120592,0.64768565,0.053420153,Topic 2,0.65
POLITICS,keep rule let dem block trump judge,0.32149586,0.031371277,0.032205928,0.61492693,Topic 3,0.61
POLITICS,face art deal,0.06305471,0.8074545,0.06679402,0.06269673,Topic 1,0.81
POLITICS,actually politically correct politician,0.8454437,0.050208826,0.053299624,0.05104782,Topic 0,0.85
POLITICS,turn actually put baby corner,0.04198979,0.04226596,0.87398726,0.04175699,Topic 2,0.87
POLITICS,propose clamp open process,0.05015818,0.21545126,0.05456877,0.6798218,Topic 3,0.68
POLITICS,middle class taxis lot money,0.041738443,0.87073004,0.041748866,0.045782648,Topic 1,0.87
ENTERTAINMENT,thing hate,0.08450669,0.08574079,0.083416514,0.746336,Topic 3,0.75
POLITICS,governor call oppose common core,0.042088907,0.8710465,0.0444889,0.042375773,Topic 1,0.87
POLITICS,never really recover passing,0.84972864,0.050077755,0.05008257,0.050111007,Topic 0,0.85
POLITICS,dangerous happy support,0.06263828,0.80860597,0.0655554,0.06320036,Topic 1,0.81
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,people hate rahm emanuel much may cost,0.9028437,0.03178502,0.03130935,0.03406193,Topic 0,0.9
POLITICS,warn culture war,0.30332556,0.0663543,0.56723684,0.0630833,Topic 2,0.57
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,total,0.6237465,0.12539102,0.12541598,0.1254465,Topic 0,0.62
ENTERTAINMENT,tear worthy moment season rank,0.04203192,0.87265265,0.043534197,0.04178122,Topic 1,0.87
POLITICS,thaw climate conflict,0.062623054,0.06346891,0.0629405,0.8109675,Topic 3,0.81
POLITICS,take transgender bathroom,0.06517626,0.3207252,0.55137396,0.06272453,Topic 2,0.55
POLITICS,rise tide lift boat boatless leave suffer,0.90284926,0.034216538,0.031599715,0.031334482,Topic 0,0.9
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,debate,0.12504129,0.13879113,0.12503664,0.61113095,Topic 3,0.61
POLITICS,could end slaughter hour,0.8481434,0.050556105,0.05121775,0.05008275,Topic 0,0.85
POLITICS,limited small staff,0.06263236,0.8120904,0.06263381,0.062643394,Topic 1,0.81
ENTERTAINMENT,put family feud fail shame,0.042994678,0.87022,0.043009777,0.043775555,Topic 1,0.87
ENTERTAINMENT,trailer send,0.08615168,0.0836862,0.4315019,0.3986602,Topic 2,0.43
POLITICS,trump toxic even member would rather vote,0.36612666,0.5694296,0.03225125,0.032192558,Topic 1,0.57
POLITICS,sander call liar,0.062956735,0.06314772,0.55553776,0.31835777,Topic 2,0.56
ENTERTAINMENT,enough fan caress face,0.05014324,0.22077924,0.052032325,0.67704517,Topic 3,0.68
TECH,build minecraft world,0.06263323,0.8119223,0.06280299,0.06264149,Topic 1,0.81
POLITICS,shed conceit,0.7492488,0.08356788,0.083582625,0.08360067,Topic 0,0.75
POLITICS,still mad health care blame,0.042492494,0.042669695,0.8731396,0.041698147,Topic 2,0.87
ENTERTAINMENT,infinity music award,0.41535124,0.06270614,0.45920774,0.06273487,Topic 2,0.46
POLITICS,really hope stop say racist thing judge,0.13234009,0.031513356,0.03151779,0.80462873,Topic 3,0.8
POLITICS,trial come close probably hear much,0.87249595,0.04016282,0.036093794,0.051247437,Topic 0,0.87
ENTERTAINMENT,come soon fast furious live,0.042997066,0.8707447,0.042786106,0.043472137,Topic 1,0.87
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,get,0.624924,0.12504609,0.12501499,0.1250149,Topic 0,0.62
POLITICS,governor threaten expansion fed reject reform,0.03697466,0.036100626,0.03607198,0.89085275,Topic 3,0.89
POLITICS,challenger lose purport ban memo,0.86010534,0.047514714,0.050297875,0.04208203,Topic 0,0.86
POLITICS,agree military deal record sum,0.041843582,0.0436036,0.8705529,0.043999966,Topic 2,0.87
POLITICS,lie blindness affirmative action,0.050104953,0.8487913,0.050990067,0.050113734,Topic 1,0.85
ENTERTAINMENT,admit never love,0.81153995,0.06267468,0.062876664,0.06290869,Topic 0,0.81
POLITICS,supporter use fake minimum wage petition ballot,0.031332415,0.28096682,0.6556633,0.032037452,Topic 2,0.66
ENTERTAINMENT,perfectly tweet bachelor season episode,0.38203007,0.5335786,0.04256156,0.04182976,Topic 1,0.53
POLITICS,cop get help cope trauma,0.2126511,0.041776564,0.7037929,0.04177945,Topic 2,0.7
ENTERTAINMENT,note celebrate release,0.8100981,0.06395951,0.06330573,0.062636636,Topic 0,0.81
ENTERTAINMENT,movie,0.12999111,0.1250421,0.12504539,0.6199214,Topic 3,0.62
POLITICS,heart,0.12543474,0.6236537,0.12543967,0.1254719,Topic 1,0.62
ENTERTAINMENT,ice office film starring rapper voice win mostly unimpressive weekend,0.023089107,0.9310491,0.023086002,0.022775766,Topic 1,0.93
POLITICS,need,0.1251164,0.6202104,0.12955062,0.12512255,Topic 1,0.62
POLITICS,climate change haunt year crop,0.04999505,0.86258113,0.044720933,0.04270288,Topic 1,0.86
POLITICS,delay transgender recruitment month,0.8488227,0.050119705,0.050924975,0.050132666,Topic 0,0.85
POLITICS,year,0.12505364,0.1287222,0.62118065,0.12504347,Topic 2,0.62
ENTERTAINMENT,seem unfazed penisgate,0.06266324,0.0626553,0.06266502,0.8120164,Topic 3,0.81
POLITICS,trump fail correct questioner,0.052052084,0.050570715,0.05096694,0.8464102,Topic 3,0.85
POLITICS,declare,0.1250468,0.12504452,0.62485796,0.12505071,Topic 2,0.62
ENTERTAINMENT,excited trailer netflix wet hot american summer,0.904088,0.031577874,0.032112546,0.032221578,Topic 0,0.9
POLITICS,must become journalist,0.06392639,0.06261786,0.06437407,0.8090817,Topic 3,0.81
ENTERTAINMENT,cover go town woman,0.62185407,0.0506867,0.27700236,0.050456874,Topic 0,0.62
TECH,date ipad launch touch finally week apple rumor,0.027836837,0.028793925,0.91540885,0.027960364,Topic 2,0.92
POLITICS,affirmative action ever,0.06258005,0.8122521,0.06258092,0.062586926,Topic 1,0.81
POLITICS,get personal,0.7460848,0.083464675,0.08347357,0.08697694,Topic 0,0.75
POLITICS,delete embarrassing tweet,0.06263215,0.8109897,0.06373576,0.06264245,Topic 1,0.81
TECH,vague new privacy term explain,0.041785434,0.4772095,0.4392181,0.041786935,Topic 1,0.48
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,may already go,0.50226647,0.067700304,0.3668927,0.06314053,Topic 0,0.5
ENTERTAINMENT,movie get suicide joke,0.8477157,0.050078318,0.05008038,0.052125625,Topic 0,0.85
POLITICS,parade,0.12537639,0.1253578,0.12538059,0.6238852,Topic 3,0.62
POLITICS,medium collectively bite try write measure drape,0.03171754,0.031407833,0.03138771,0.9054869,Topic 3,0.91
POLITICS,trump lead government,0.524347,0.34718156,0.064101405,0.06437002,Topic 0,0.52
POLITICS,building swamp cabinet say,0.050189577,0.407282,0.4873728,0.055155646,Topic 2,0.49
ENTERTAINMENT,say hater go,0.06644383,0.06257876,0.80277103,0.068206415,Topic 2,0.8
POLITICS,see say young rest,0.050106887,0.05079201,0.051210534,0.84789056,Topic 3,0.85
TECH,duck good hacker world baffle,0.041722164,0.04937323,0.8671874,0.041717194,Topic 2,0.87
POLITICS,issue finally gain,0.5558819,0.31746095,0.06393222,0.06272496,Topic 0,0.56
POLITICS,big winner big loser budget,0.7550665,0.041784562,0.16123886,0.041910045,Topic 0,0.76
POLITICS,struggle ahead,0.08651659,0.08355358,0.09380609,0.73612374,Topic 3,0.74
ENTERTAINMENT,divorce mom open cope loneliness party,0.035779826,0.036253247,0.8920225,0.0359444,Topic 2,0.89
POLITICS,say account president,0.06389181,0.06521112,0.06323352,0.80766356,Topic 3,0.81
POLITICS,establishment flail trump go kill,0.8733613,0.041840628,0.042017505,0.042780563,Topic 0,0.87
ENTERTAINMENT,soule reveal really tough,0.84852695,0.0500834,0.05008995,0.05129969,Topic 0,0.85
POLITICS,become first state execute death row inmate nitrogen gas,0.026899496,0.025759459,0.12476722,0.82257384,Topic 3,0.82
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,fight tiger,0.08374416,0.08345917,0.74931663,0.08348006,Topic 2,0.75
TECH,nerd stereotype,0.08355911,0.083548106,0.0835616,0.7493312,Topic 3,0.75
POLITICS,sterling child,0.38911697,0.08623339,0.44095567,0.08369394,Topic 2,0.44
POLITICS,debate debate need,0.06252935,0.80836445,0.06308472,0.06602147,Topic 1,0.81
ENTERTAINMENT,good tv show,0.06255191,0.06254612,0.56277174,0.31213027,Topic 2,0.56
ENTERTAINMENT,call reveal,0.48221028,0.08518151,0.349137,0.08347118,Topic 0,0.48
ENTERTAINMENT,brother make official,0.30524665,0.5683945,0.06374427,0.0626146,Topic 1,0.57
ENTERTAINMENT,call great powerful speech,0.050148625,0.05021782,0.8496065,0.05002699,Topic 2,0.85
POLITICS,year old self run president,0.2093195,0.7044479,0.044101387,0.042131152,Topic 1,0.7
POLITICS,try mess backfire big time,0.6295113,0.04174784,0.0419898,0.28675106,Topic 0,0.63
POLITICS,turn meet new victim eminent domain,0.035799462,0.03635218,0.8920653,0.03578306,Topic 2,0.89
POLITICS,lose forget fighting,0.06290174,0.36585408,0.50850725,0.06273691,Topic 2,0.51
POLITICS,apologize tell high school student,0.19323443,0.043182302,0.21687943,0.5467038,Topic 3,0.55
POLITICS,police officer assign shoot gun,0.04234841,0.20968525,0.04172977,0.7062366,Topic 3,0.71
POLITICS,say presidency would tainted,0.05007222,0.05438229,0.21748927,0.67805624,Topic 3,0.68
ENTERTAINMENT,remember victim bernardino shooting,0.2567972,0.43171299,0.052460253,0.2590295,Topic 1,0.43
POLITICS,people trump attack minute,0.05130339,0.050276503,0.050167102,0.84825295,Topic 3,0.85
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,first time early know record performance,0.035769895,0.7465678,0.03878452,0.17887783,Topic 1,0.75
ENTERTAINMENT,,0.25,0.25,0.25,0.25,Topic 0,0.25
POLITICS,love high deductible love health bill,0.88086605,0.03621945,0.037402138,0.045512363,Topic 0,0.88
POLITICS,sign support cotton letter disqualify,0.043955643,0.042038746,0.8721194,0.041886143,Topic 2,0.87
ENTERTAINMENT,never,0.6246673,0.12510398,0.12511204,0.12511672,Topic 0,0.62
TECH,get rid easy way watch block content,0.90183234,0.03552111,0.031318672,0.031327877,Topic 0,0.9
ENTERTAINMENT,see social medium technology smart way grow,0.031635284,0.9038498,0.03193063,0.032584332,Topic 1,0.9
POLITICS,congressman tell trump face comment black community hurtful,0.030438324,0.028898235,0.9097196,0.030943837,Topic 2,0.91
POLITICS,weigh compete special counsel focus,0.87400234,0.042422608,0.04178338,0.041791715,Topic 0,0.87
ENTERTAINMENT,early lead,0.08342788,0.7497169,0.08342184,0.083433405,Topic 1,0.75
POLITICS,open opposition research book trump nominee public,0.6436823,0.03376096,0.2908389,0.031717867,Topic 0,0.64
POLITICS,business tie endanger american democracy,0.8738019,0.04188085,0.041741494,0.0425758,Topic 0,0.87
POLITICS,fact check democratic debate,0.050151214,0.84885734,0.050049078,0.05094236,Topic 1,0.85
POLITICS,voter buy denial excuse,0.05012753,0.8440625,0.055671874,0.050138142,Topic 1,0.84
POLITICS,conspiracy theory involve,0.06268834,0.81191707,0.0626904,0.06270422,Topic 1,0.81
ENTERTAINMENT,woman explain falsely accuse dad sexual assault child,0.027839364,0.9128712,0.031205496,0.02808392,Topic 1,0.91
POLITICS,deny trump request hear lawsuit,0.043919347,0.044054795,0.04231806,0.8697078,Topic 3,0.87
TECH,jet launch apple store incredible deal,0.49601868,0.0361988,0.43137705,0.03640545,Topic 0,0.5
TECH,may zuckerberg control forever,0.05060872,0.84920365,0.050090816,0.05009675,Topic 1,0.85
POLITICS,attorney speak deportation effort release detention,0.1761664,0.0357963,0.03732966,0.7507076,Topic 3,0.75
POLITICS,less nominee,0.08339601,0.08345208,0.7497431,0.08340879,Topic 2,0.75
POLITICS,make stomach turn,0.06283379,0.06561376,0.8089665,0.06258588,Topic 2,0.81
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,bloom dress spread holiday cheer child hospital,0.03155559,0.9047282,0.03208624,0.03163003,Topic 1,0.9
POLITICS,reach try become party,0.050462738,0.05007685,0.052819766,0.84664065,Topic 3,0.85
POLITICS,win late version bill,0.84842706,0.051145118,0.05034817,0.05007964,Topic 0,0.85
TECH,semitism,0.12543482,0.6236535,0.12543975,0.125472,Topic 1,0.62
ENTERTAINMENT,respond golden,0.08345928,0.08345318,0.08346063,0.74962693,Topic 3,0.75
POLITICS,sell freedom head cost,0.8486618,0.051143326,0.05009407,0.050100774,Topic 0,0.85
TECH,hide face detection technology,0.05011334,0.053444553,0.8450738,0.051368274,Topic 2,0.85
POLITICS,call sanctuary city immigration plan,0.39781308,0.04209122,0.5182062,0.04188951,Topic 2,0.52
POLITICS,stepping shadow face addiction part,0.041763835,0.04313616,0.8732809,0.04181913,Topic 2,0.87
POLITICS,former say trump repair,0.05108401,0.05037007,0.050738398,0.8478075,Topic 3,0.85
POLITICS,unique fundraising strength,0.062676094,0.06266752,0.8119656,0.062690794,Topic 2,0.81
POLITICS,trump campaign give press pass pro white host black newspaper,0.93079525,0.022827629,0.022930302,0.023446867,Topic 0,0.93
ENTERTAINMENT,add update song,0.3172639,0.062622204,0.55747473,0.06263912,Topic 2,0.56
TECH,cheap standard netflix,0.06423971,0.81036514,0.06269072,0.06270443,Topic 1,0.81
ENTERTAINMENT,game actor discover document sign famously censure priest,0.9162823,0.027835146,0.02803948,0.027843015,Topic 0,0.92
POLITICS,activist democratic convention celebrate progress style,0.03664778,0.8912147,0.035796408,0.036341086,Topic 1,0.89
POLITICS,rip cowardice ducking life,0.05011264,0.050171915,0.05059783,0.84911764,Topic 3,0.85
POLITICS,terrible twitter account inevitable,0.84867877,0.050133176,0.05014146,0.051046614,Topic 0,0.85
POLITICS,top aide korean threat,0.46876076,0.057488006,0.050177492,0.4235737,Topic 0,0.47
ENTERTAINMENT,game throne impression,0.81206226,0.06263675,0.06264529,0.062655695,Topic 0,0.81
POLITICS,presidential primary,0.08433236,0.738367,0.09387814,0.08342249,Topic 1,0.74
POLITICS,chart show questionable trump climate position,0.036757972,0.036103837,0.03590987,0.8912283,Topic 3,0.89
POLITICS,still think human primary cause climate change,0.034688976,0.03270983,0.89969045,0.03291073,Topic 2,0.9
POLITICS,stop say sexist thing hillary,0.04181548,0.34448412,0.042213395,0.571487,Topic 3,0.57
POLITICS,fraud cheapskate,0.08359389,0.7491934,0.0835968,0.08361592,Topic 1,0.75
POLITICS,carly raise third quarter,0.8497336,0.0500829,0.050088268,0.050095245,Topic 0,0.85
POLITICS,disclose sensitive information,0.8064909,0.06811905,0.062687345,0.06270273,Topic 0,0.81
POLITICS,nominee disagree lot thing may matter,0.036063842,0.7681275,0.15940458,0.03640407,Topic 1,0.77
POLITICS,trump call pay family leave affordable child care,0.031141724,0.031268805,0.90812826,0.029461157,Topic 2,0.91
POLITICS,infuriate unleash deeply broken,0.84957355,0.05013321,0.05014154,0.050151706,Topic 0,0.85
POLITICS,say lawyer incriminate information president,0.04195617,0.68537694,0.043076247,0.22959067,Topic 1,0.69
ENTERTAINMENT,famous rabbit pop culture,0.6698065,0.050124925,0.05014269,0.2299259,Topic 0,0.67
ENTERTAINMENT,productive man woman,0.06257936,0.06280659,0.81203294,0.06258109,Topic 2,0.81
ENTERTAINMENT,say night cast member tell underutilized,0.035770796,0.036097363,0.88367623,0.044455577,Topic 2,0.88
POLITICS,even mitch think pay border wall,0.036922783,0.0357837,0.8914136,0.035879873,Topic 2,0.89
POLITICS,single payer critic miss point fall behind,0.15860558,0.0379118,0.7717792,0.031703446,Topic 2,0.77
TECH,protect inbox phishe email attack,0.0417708,0.04241488,0.70452785,0.21128646,Topic 2,0.7
POLITICS,still divide marriage decision,0.050461832,0.050533194,0.84892404,0.05008087,Topic 2,0.85
POLITICS,run away,0.4540891,0.08365466,0.37855652,0.08369978,Topic 0,0.45
ENTERTAINMENT,daily show eviscerate trump black white view law order,0.025509685,0.025425974,0.025188258,0.92387605,Topic 3,0.92
POLITICS,ask national prayer breakfast celebrity apprentice,0.8804522,0.035809103,0.040071506,0.043667175,Topic 0,0.88
ENTERTAINMENT,obsess wear emily prove,0.05014259,0.050140467,0.22568531,0.6740316,Topic 3,0.67
ENTERTAINMENT,direct,0.6237328,0.12539436,0.12542126,0.12545155,Topic 0,0.62
POLITICS,populist push worry red state,0.04205244,0.04245118,0.04175393,0.87374246,Topic 3,0.87
POLITICS,want swap arnold,0.80353355,0.066020444,0.06263588,0.06781007,Topic 0,0.8
POLITICS,unquenchable endless war paine warn neocon come,0.6288309,0.03304378,0.30615425,0.031971075,Topic 0,0.63
POLITICS,federal court rule cutback,0.84553367,0.050065223,0.05006899,0.054332104,Topic 0,0.85
ENTERTAINMENT,song listen instant,0.06259936,0.06259397,0.8121997,0.06260693,Topic 2,0.81
ENTERTAINMENT,exist,0.1254064,0.1253863,0.6237663,0.12544103,Topic 2,0.62
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
TECH,accuse read text access microphone lawsuit,0.035796847,0.036135484,0.89141905,0.036648635,Topic 2,0.89
POLITICS,anniversary,0.6248767,0.12503853,0.12504095,0.1250439,Topic 0,0.62
POLITICS,republican food stamp bill would cut benefit size government,0.19968842,0.7496855,0.025523866,0.025102155,Topic 1,0.75
POLITICS,go,0.6169367,0.12503299,0.12976743,0.1282629,Topic 0,0.62
POLITICS,trump threaten cut aid,0.057919268,0.2676817,0.05067316,0.6237259,Topic 3,0.62
POLITICS,trump accuse reporter ask judge comment,0.03628137,0.03619658,0.036687374,0.8908347,Topic 3,0.89
ENTERTAINMENT,snl,0.12537645,0.12535791,0.1253807,0.623885,Topic 3,0.62
ENTERTAINMENT,podcast,0.12516345,0.62449396,0.12516534,0.12517726,Topic 1,0.62
ENTERTAINMENT,guess little bride turn,0.05011011,0.050104786,0.8496659,0.050119244,Topic 2,0.85
POLITICS,new trump campaign manager deny nominee personal insult,0.029926421,0.030036554,0.25004202,0.689995,Topic 3,0.69
TECH,ipad mini event mockup week apple rumor,0.031280506,0.031603135,0.90583384,0.031282503,Topic 2,0.91
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,rally,0.12504685,0.12632336,0.62357837,0.12505144,Topic 2,0.62
ENTERTAINMENT,want show,0.08437137,0.0856331,0.08335513,0.7466404,Topic 3,0.75
POLITICS,shocking number state protect unpaid intern discrimination sexual harassment,0.025521535,0.9240369,0.02523599,0.025205508,Topic 1,0.92
POLITICS,musing,0.6237466,0.125391,0.12541601,0.12544642,Topic 0,0.62
ENTERTAINMENT,listen disney princess sing song correct language,0.03158563,0.031315144,0.90548164,0.031617634,Topic 2,0.91
ENTERTAINMENT,think would go screening,0.05473188,0.053173624,0.056403454,0.83569103,Topic 3,0.84
POLITICS,go viral,0.093593635,0.08347356,0.7372498,0.08568302,Topic 2,0.74
ENTERTAINMENT,may see light day year,0.3823376,0.047313064,0.52726084,0.04308848,Topic 2,0.53
POLITICS,nuclear giant exelon blast wind,0.0422484,0.041767187,0.0417753,0.8742091,Topic 3,0.87
ENTERTAINMENT,girl lower official release date,0.045867566,0.37501281,0.37368035,0.2054393,Topic 1,0.38
POLITICS,,0.25,0.25,0.25,0.25,Topic 0,0.25
ENTERTAINMENT,actor filmmaker talk whitewash,0.8497673,0.05007245,0.050079394,0.05008089,Topic 0,0.85
POLITICS,corporation less prominent,0.06264207,0.06263552,0.8120685,0.06265392,Topic 2,0.81
POLITICS,program reject percent applicant,0.050850514,0.050104614,0.051481448,0.84756345,Topic 3,0.85
POLITICS,say critic act snowflake,0.05082884,0.05009453,0.051283628,0.84779304,Topic 3,0.85
POLITICS,ever happen antitrust,0.06259621,0.81220233,0.06259726,0.0626042,Topic 1,0.81
POLITICS,brother take paranoid style politic level,0.45650017,0.47153014,0.035803564,0.03616615,Topic 1,0.47
ENTERTAINMENT,prove actually know science,0.050880704,0.44868997,0.45023206,0.05019724,Topic 2,0.45
POLITICS,leadership,0.12541279,0.12539034,0.62375087,0.12544602,Topic 2,0.62
POLITICS,plenty senator love job,0.054364845,0.051096212,0.843517,0.051021937,Topic 2,0.84
POLITICS,obamacare risk must provide proof legal status,0.9048205,0.031317458,0.03180794,0.032054055,Topic 0,0.9
POLITICS,morning email,0.08349994,0.08348798,0.41797557,0.41503647,Topic 2,0.42
POLITICS,admit cultivate hundred jailhouse informant lawyer say,0.037005607,0.77449775,0.03251508,0.15598156,Topic 1,0.77
ENTERTAINMENT,say would love come,0.05513515,0.053630494,0.05184315,0.83939123,Topic 3,0.84
ENTERTAINMENT,new single triumphant get announce,0.20821007,0.7062438,0.043783423,0.041762695,Topic 1,0.71
ENTERTAINMENT,great moment time,0.0625644,0.063292965,0.560483,0.31365967,Topic 2,0.56
POLITICS,top slow trump sit hand,0.050447695,0.2779748,0.6259631,0.04561436,Topic 2,0.63
ENTERTAINMENT,dj,0.1253811,0.1253614,0.1253859,0.6238716,Topic 3,0.62
POLITICS,group support hire hope run,0.2126612,0.04246185,0.34069195,0.40418497,Topic 3,0.4
POLITICS,abandon fund demand,0.8098214,0.062670685,0.06268137,0.06482651,Topic 0,0.81
POLITICS,new mayor drive giant snail car,0.6916541,0.037225,0.23386534,0.037255555,Topic 0,0.69
ENTERTAINMENT,try snuggle bed,0.063280806,0.062615655,0.06298806,0.81111544,Topic 3,0.81
POLITICS,defend racist,0.08465079,0.083486624,0.08349622,0.74836636,Topic 3,0.75
ENTERTAINMENT,finally fix ending,0.06263886,0.557564,0.06317045,0.31662667,Topic 1,0.56
POLITICS,native american activist columbus day,0.8733568,0.042233415,0.041743085,0.0426667,Topic 0,0.87
POLITICS,provision could problem government funding negotiation,0.8916439,0.036016855,0.03651204,0.035827212,Topic 0,0.89
ENTERTAINMENT,remain critical condition,0.06267735,0.06266875,0.80984885,0.06480505,Topic 2,0.81
ENTERTAINMENT,meet,0.1257647,0.12503238,0.6241661,0.12503688,Topic 2,0.62
POLITICS,say,0.12500557,0.12503605,0.12989326,0.62006515,Topic 3,0.62
POLITICS,inmate flint force consume use contaminate water month,0.4532625,0.027868938,0.029919771,0.48894876,Topic 3,0.49
POLITICS,race,0.6246916,0.1250953,0.12510446,0.12510858,Topic 0,0.62
POLITICS,criticism prep sweep defense foreign policy,0.8922071,0.03579918,0.036183394,0.03581034,Topic 0,0.89
ENTERTAINMENT,audition show far come,0.05069967,0.050352428,0.050597146,0.8483507,Topic 3,0.85
POLITICS,deliver holiday gift,0.06266341,0.063883446,0.0626652,0.810788,Topic 3,0.81
POLITICS,lawmaker finally vote end year old war authorization,0.3238654,0.6175524,0.029364541,0.029217575,Topic 1,0.62
POLITICS,good wall make good neighbor,0.041807853,0.042768475,0.87371296,0.04171073,Topic 2,0.87
ENTERTAINMENT,new plantpure nation documentary,0.050200354,0.8482952,0.051394068,0.050110348,Topic 1,0.85
POLITICS,future negotiation hang balance trade minister meet,0.89810646,0.031325046,0.039232645,0.031335868,Topic 0,0.9
POLITICS,hate politic follow money,0.052532356,0.050805002,0.050111074,0.8465516,Topic 3,0.85
POLITICS,let talk race,0.568263,0.06258974,0.3027306,0.066416696,Topic 0,0.57
ENTERTAINMENT,second director say weinstein blacklist film,0.03670719,0.036637243,0.88966566,0.03698994,Topic 2,0.89
ENTERTAINMENT,dead weather announce new album dodge,0.17852567,0.74915767,0.036510855,0.035805807,Topic 1,0.75
